Estado (+ Cuidad de Mexico),Abreviatura ISO,Abreviatura SHP,CVE_ENT
Aguascalientes,AGS,MX01,1
Baja California Sur,BCS,MX02,2
Baja California Norte,BCN,MX03,3
Campeche,CAM,MX04,4
Chiapas,CHP,MX07,7
Chihuahua,CHI,MX08,8
Distrito Federal,DIF,MX09,9
Coahuila,COA,MX05,5
Colima,COL,MX06,6
Durango,DUR,MX10,10
Guanajuato,GTO,MX11,11
Guerrero,GRO,MX12,12
Hidalgo,HGO,MX13,13
Jalisco,JAL,MX14,14
Edo. de México,MEX,MX15,15
Michoacán,MIC,MX16,16
Morelos,MOR,MX17,17
Nayarit,NAY,MX18,18
Nuevo León,NLE,MX19,19
Oaxaca,OAX,MX20,20
Puebla,PUE,MX21,21
Querétaro,QRO,MX22,22
Quintana Roo,ROO,MX23,23
San luis Potosí,SLP,MX24,24
Sinaloa,SIN,MX25,25
Sonora,SON,MX26,26
Tabasco,TAB,MX27,27
Tamaulipas,TAM,MX28,28
Tlaxcala,TLX,MX29,29
Veracruz,VER,MX30,30
Yucatán,YUC,MX31,31
Zacatecas,ZAC,MX32,32
